x,y,rl,crosectional_distance,khal_name
733241.5263,2459617.474,-0.95,20,
733240.5921,2459617.158,-2.48,21,
733238.7237,2459616.526,-3.58,23,
733235.9211,2459615.579,-4.15,26,
733233.1184,2459614.632,-4.98,29,
733230.3158,2459613.684,-5.43,32,
733227.5132,2459612.737,-5.43,35,
733224.7105,2459611.789,-5.53,38,
733220.9737,2459610.526,-5.33,42,
733217.2368,2459609.263,-5.03,46,
733213.5,2459608,-4.23,50,
733208.8289,2459606.421,-4.03,55,
733204.1579,2459604.842,-0.63,60,
733201.3553,2459603.895,-2.83,63,
733198.5526,2459602.947,-2.15,66,
733195.75,2459602,-1.17,69,
733192.9474,2459601.053,-0.83,72,
733190.1447,2459600.105,-0.31,75,
733187.3421,2459599.158,0.17,78,
733184.5395,2459598.211,0.52,81,
733181.7368,2459597.263,0.81,84,
733178.9342,2459596.316,1.17,87,
733178,2459596,1.64,88,
733177.0658,2459595.684,1.65,89,
733176.1316,2459595.368,0.71,90,
733173.3289,2459594.421,0.69,93,
733170.5263,2459593.474,0.68,96,
733168.6579,2459592.842,0.68,98,
733220.0244,2459727.317,1.69,0,
733215.5122,2459726.159,1.66,5,
733211,2459725,1.65,10,
733210.0976,2459724.768,1.17,11,
733208.2927,2459724.305,0.84,13,
733205.5854,2459723.61,0.36,16,
733202.878,2459722.915,-0.15,19,
733200.1707,2459722.22,-0.48,22,
733197.4634,2459721.524,-2.48,25,
733194.7561,2459720.829,-2.96,28,
733192.0488,2459720.134,-4.38,31,
733189.3415,2459719.439,-4.83,34,
733186.6341,2459718.744,-5.03,37,
733183.9268,2459718.049,-5.33,40,
733181.2195,2459717.354,-5.71,43,
733178.5122,2459716.659,-5.71,46,
733175.8049,2459715.963,-5.49,49,
733173.0976,2459715.268,-5.16,52,
733170.3902,2459714.573,-4.83,55,
733167.6829,2459713.878,-4.36,58,
733164.9756,2459713.183,-3.83,61,
733162.2683,2459712.488,-3.18,64,
733159.561,2459711.793,-2.16,67,
733156.8537,2459711.098,-0.53,70,
733154.1463,2459710.402,-0.28,73,
733151.439,2459709.707,0.17,76,
733148.7317,2459709.012,0.17,79,
733146.9268,2459708.549,0.37,81,
733144.2195,2459707.854,0.57,84,
733142.4146,2459707.39,0.52,86,
733140.6098,2459706.927,0.62,88,
733137.9024,2459706.232,1.17,91,
733137,2459706,1.74,92,
733136.0976,2459705.768,1.75,93,
733133.3902,2459705.073,0.52,96,
733129.7805,2459704.146,0.49,100,
733125.2683,2459702.988,0.48,105,
733067,2459812.75,1.24,0,
733079.8,2459804.95,1.28,8,
733081.4,2459803.975,1.85,9,
733083,2459803,1.82,10,
733084.6,2459802.025,1.17,11,
733089.4,2459799.1,0.85,14,
733094.2,2459796.175,0.57,17,
733099,2459793.25,-0.09,20,
733103.8,2459790.325,-1.53,23,
733108.6,2459787.4,-2.15,26,
733113.4,2459784.475,-3.17,29,
733118.2,2459781.55,-3.69,32,
733119.8,2459780.575,-4.33,33,
733124.6,2459777.65,-4.33,36,
733129.4,2459774.725,-4.33,39,
733137.4,2459769.85,-3.83,44,
733143.8,2459765.95,-3.68,48,
733151.8,2459761.075,-3.5,53,
733159.8,2459756.2,-4.33,58,
733167.8,2459751.325,-4.33,63,
733172.6,2459748.4,-3.7,66,
733174.2,2459747.425,-1.85,67,
733179,2459744.5,-0.91,70,
733183.8,2459741.575,-0.78,73,
733188.6,2459738.65,-0.1,76,
733191.8,2459736.7,0.07,78,
733195,2459734.75,0.17,80,
733199.8,2459731.825,0.57,83,
733204.6,2459728.9,0.71,86,
733209.4,2459725.975,1.17,89,
733211,2459725,1.95,90,
733212.6,2459724.025,1.92,91,
733215.8,2459722.075,0.87,93,
733220.6,2459719.15,0.82,96,
733223.8,2459717.2,0.81,98,
733115.0909,2459899.286,1.24,0,
733110.5455,2459897.143,1.25,5,
733107.8182,2459895.857,1.25,8,
733106.9091,2459895.429,1.63,9,
733106,2459895,1.62,10,
733105.0909,2459894.571,1.17,11,
733102.3636,2459893.286,0.96,14,
733099.6364,2459892,0.53,17,
733096.9091,2459890.714,-0.03,20,
733094.1818,2459889.429,-1.43,23,
733091.4545,2459888.143,-1.91,26,
733088.7273,2459886.857,-2.79,29,
733086,2459885.571,-3.51,32,
733083.2727,2459884.286,-3.83,35,
733080.5455,2459883,-4.33,38,
733077.8182,2459881.714,-4.35,41,
733075.0909,2459880.429,-3.73,44,
733072.3636,2459879.143,-3.71,47,
733069.6364,2459877.857,-3.23,50,
733066,2459876.143,-3.13,54,
733062.3636,2459874.429,-2.43,58,
733057.8182,2459872.286,-2.03,63,
733052.3636,2459869.714,-1.83,69,
733050.5455,2459868.857,-1.73,71,
733047.8182,2459867.571,-1.29,74,
733045.0909,2459866.286,-0.53,77,
733042.3636,2459865,-0.19,80,
733039.6364,2459863.714,0.21,83,
733036.9091,2459862.429,1.17,86,
733036,2459862,2.11,87,
733035.0909,2459861.571,2.12,88,
733033.2727,2459860.714,1.56,90,
733029.6364,2459859,1.55,94,
733026.125,2459973.781,1.28,0,
733019.625,2459969.156,1.27,8,
733018.8125,2459968.578,1.79,9,
733018,2459968,1.8,10,
733017.1875,2459967.422,1.17,11,
733014.75,2459965.688,0.41,14,
733012.3125,2459963.953,-0.23,17,
733009.875,2459962.219,-0.63,20,
733007.4375,2459960.484,-0.78,23,
733005,2459958.75,-1.43,26,
733002.5625,2459957.016,-2.09,29,
733001.75,2459956.438,-2.78,30,
732999.3125,2459954.703,-3.13,33,
732997.6875,2459953.547,-3.73,35,
732996.875,2459952.969,-3.86,36,
732995.25,2459951.813,-3.88,38,
