x,y,rl,crosectional_distance,Khal_Name
734295.8462,2459539.154,0.13,14,10NoSora
734295.3077,2459538.192,0.18,15,10NoSora
734294.7692,2459537.231,0.19,16,10NoSora
734294.2308,2459536.269,0.26,17,10NoSora
734293.6923,2459535.308,0.73,18,10NoSora
734293.1538,2459534.346,1.67,19,10NoSora
734292.6154,2459533.385,1.66,20,10NoSora
734292.0769,2459532.423,1.16,21,10NoSora
734291.5385,2459531.462,0.02,22,10NoSora
734290.4615,2459529.538,-0.06,24,10NoSora
734289.3846,2459527.615,-0.5,26,10NoSora
734288.3077,2459525.692,-0.51,28,10NoSora
734287.2308,2459523.769,-0.47,30,10NoSora
734286.1538,2459521.846,-0.22,32,10NoSora
734285.0769,2459519.923,0.39,34,10NoSora
734284,2459518,2.16,36,10NoSora
734282.3846,2459515.115,2.14,39,10NoSora
734202.5652,2459576.13,1.55,0,10NoSora
734201.0435,2459573.087,1.55,5,10NoSora
734199.5217,2459570.043,1.5,10,10NoSora
734198,2459567,1.58,15,10NoSora
734197.6957,2459566.391,0.73,16,10NoSora
734197.3913,2459565.783,0.52,17,10NoSora
734197.087,2459565.174,0.31,18,10NoSora
734196.7826,2459564.565,0.13,19,10NoSora
734196.4783,2459563.957,0.1,20,10NoSora
734196.1739,2459563.348,0.43,21,10NoSora
734196.0217,2459563.043,0.73,21.5,10NoSora
734195.8696,2459562.739,1.32,22,10NoSora
734195.7174,2459562.435,1.3,22.5,10NoSora
734195.5652,2459562.13,0.73,23,10NoSora
734195.2609,2459561.522,0.31,24,10NoSora
734194.9565,2459560.913,-0.09,25,10NoSora
734194.6522,2459560.304,-0.28,26,10NoSora
734194.0435,2459559.087,-0.28,28,10NoSora
734193.4348,2459557.87,-0.22,30,10NoSora
734192.8261,2459556.652,-0.17,32,10NoSora
734192.2174,2459555.435,0.01,34,10NoSora
734191.6087,2459554.217,0.23,36,10NoSora
734191.3043,2459553.609,0.73,37,10NoSora
734191,2459553,1.62,38,10NoSora
734190.087,2459551.174,1.6,41,10NoSora
734113.5,2459613.5,1.84,0,10NoSora
734108.5,2459608.5,1.83,10,10NoSora
734106,2459606,1.82,15,10NoSora
734105.5,2459605.5,0.73,16,10NoSora
734105,2459605,0.13,17,10NoSora
734104.5,2459604.5,-0.07,18,10NoSora
734104,2459604,-0.07,19,10NoSora
734103.5,2459603.5,-0.09,20,10NoSora
734103,2459603,-0.12,21,10NoSora
734102.5,2459602.5,-0.14,22,10NoSora
734102,2459602,-0.17,23,10NoSora
734101.5,2459601.5,-0.21,24,10NoSora
734101,2459601,-0.22,25,10NoSora
734100.5,2459600.5,-0.18,26,10NoSora
734100,2459600,-0.17,27,10NoSora
734099.5,2459599.5,-0.17,28,10NoSora
734099,2459599,-0.15,29,10NoSora
734098.5,2459598.5,-0.12,30,10NoSora
734098,2459598,0.01,31,10NoSora
734097.5,2459597.5,0.13,32,10NoSora
734097,2459597,0.18,33,10NoSora
734096.5,2459596.5,0.73,34,10NoSora
734096,2459596,1.84,35,10NoSora
734094.5,2459594.5,1.83,38,10NoSora
734093.5,2459593.5,1.65,40,10NoSora
734091,2459591,1.64,45,10NoSora
734020.2941,2459643.294,1.4,0,10NoSora
734019.6471,2459642.647,1.39,1,10NoSora
734019,2459642,1.42,2,10NoSora
734018.3529,2459641.353,0.73,3,10NoSora
734017.7059,2459640.706,0.08,4,10NoSora
734017.0588,2459640.059,-0.17,5,10NoSora
734016.4118,2459639.412,-0.12,6,10NoSora
734015.7647,2459638.765,0.03,7,10NoSora
734015.1176,2459638.118,0.31,8,10NoSora
734014.4706,2459637.471,0.41,9,10NoSora
734013.8235,2459636.824,0.28,10,10NoSora
734013.1765,2459636.176,0.03,11,10NoSora
734012.5294,2459635.529,-0.1,12,10NoSora
734011.8824,2459634.882,-0.07,13,10NoSora
734011.2353,2459634.235,-0.02,14,10NoSora
734010.5882,2459633.588,0.05,15,10NoSora
734009.9412,2459632.941,0.22,16,10NoSora
734009.2941,2459632.294,0.36,17,10NoSora
734008.6471,2459631.647,0.73,18,10NoSora
734008,2459631,1.51,19,10NoSora
734006.7059,2459629.706,1.52,21,10NoSora
734004.7647,2459627.765,1.62,24,10NoSora
734000.8824,2459623.882,1.64,30,10NoSora
733946.1818,2459709.182,1.37,0,10NoSora
733942.3182,2459705.318,1.38,5,10NoSora
733940,2459703,1.39,8,10NoSora
733939.2273,2459702.227,0.73,9,10NoSora
733938.4545,2459701.455,0.23,10,10NoSora
733937.6818,2459700.682,0.18,11,10NoSora
733936.9091,2459699.909,-0.04,12,10NoSora
733936.1364,2459699.136,-0.07,13,10NoSora
733935.3636,2459698.364,-0.12,14,10NoSora
733934.5909,2459697.591,-0.17,15,10NoSora
733933.8182,2459696.818,-0.19,16,10NoSora
733933.0455,2459696.045,-0.2,17,10NoSora
733932.2727,2459695.273,-0.19,18,10NoSora
733931.5,2459694.5,-0.17,19,10NoSora
733930.7273,2459693.727,-0.17,20,10NoSora
733929.9545,2459692.955,-0.2,21,10NoSora
733929.1818,2459692.182,-0.17,22,10NoSora
733928.4091,2459691.409,-0.24,23,10NoSora
733927.6364,2459690.636,-0.12,24,10NoSora
733926.8636,2459689.864,-0.06,25,10NoSora
733926.0909,2459689.091,-0.01,26,10NoSora
733925.3182,2459688.318,0.1,27,10NoSora
733924.5455,2459687.545,0.23,28,10NoSora
733923.7727,2459686.773,0.73,29,10NoSora
733923,2459686,1.35,30,10NoSora
733921.4545,2459684.455,1.36,32,10NoSora
733919.9091,2459682.909,0.47,34,10NoSora
733915.2727,2459678.273,0.48,40,10NoSora
733883.8333,2459776.333,1.09,0,10NoSora
733874.6667,2459769.667,1.07,10,10NoSora
733872.8333,2459768.333,1.61,12,10NoSora
733871,2459767,1.57,14,10NoSora
733870.0833,2459766.333,0.73,15,10NoSora
733869.1667,2459765.667,0.08,16,10NoSora
733868.25,2459765,0,17,10NoSora
733867.3333,2459764.333,-0.08,18,10NoSora
733866.4167,2459763.667,-0.11,19,10NoSora
733865.5,2459763,-0.08,20,10NoSora
733864.5833,2459762.333,-0.03,21,10NoSora
733863.6667,2459761.667,0.06,22,10NoSora
733862.75,2459761,0.18,23,10NoSora
733861.8333,2459760.333,0.39,24,10NoSora
733860.9167,2459759.667,0.73,25,10NoSora
733860,2459759,1.52,26,10NoSora
733858.1667,2459757.667,1.51,28,10NoSora
733856.3333,2459756.333,0.87,30,10NoSora
733853.5833,2459754.333,0.62,33,10NoSora
733850.8333,2459752.333,0.61,36,10NoSora
733847.1667,2459749.667,0.75,40,10NoSora
733802.1765,2459842.353,1.03,0,10NoSora
733799.5294,2459840.059,1.01,3,10NoSora
733796.8824,2459837.765,1.03,6,10NoSora
733796,2459837,1.03,7,10NoSora
733795.1176,2459836.235,0.73,8,10NoSora
733794.2353,2459835.471,-0.02,9,10NoSora
733793.3529,2459834.706,-0.18,10,10NoSora
